ca,regime,famille,paquet,poids
2565150.00,3,AR,B,1290.10
4045608.00,3,AR,B,639.55
732900.00,2,CO,B,639.55
1392510.00,3,AR,B,639.55
9069637.50,3,AR,A,639.55
4287465.00,1,NA,B,639.55
3053750.00,1,TR,B,639.55
1465800.00,1,NA,B,639.55
7035840.00,2,CO,A,1223.30
2557821.00,2,CO,B,1223.30
2345280.00,3,NA,B,1223.30
571662.00,3,AR,B,1223.30
4177530.00,3,AR,B,998.44
13796842.50,3,AR,A,998.44
5320854.00,3,AR,A,998.44
6277288.50,1,NA,A,998.44
5130300.00,1,AR,A,998.44
1868895.00,1,NA,B,998.44
5350170.00,2,CO,A,998.44
1135995.00,3,CO,B,998.44
161238.00,3,AR,B,196.92
598535.00,2,CO,B,196.92
175896.00,3,AR,B,196.92
10993.50,3,AR,B,196.92
666939.00,3,AR,B,196.92
238192.50,1,TR,B,196.92
305375.00,2,CO,B,196.92
439740.00,1,NA,B,196.92
366450.00,3,AR,B,196.92
488600.00,3,AR,B,196.92
610750.00,3,AR,B,196.92
513030.00,2,CO,B,196.92
366450.00,1,AR,B,634.70
1099350.00,3,AR,B,174.25
1465800.00,3,AR,B,174.25
1172640.00,3,CO,B,174.25
879480.00,1,TR,B,174.25
952770.00,2,CO,B,174.25
732900.00,3,AR,B,174.25
1465800.00,3,AR,B,174.25
249186.00,2,CO,B,174.25
879480.00,2,CO,B,227.21
542346.00,3,AR,B,227.21
659610.00,2,CO,B,227.21
1209285.00,3,AR,B,227.21
2491860.00,3,AR,B,227.21
586320.00,3,AR,B,227.21
1612380.00,2,CO,B,227.21
1099350.00,1,TR,B,227.21
381108.00,1,NA,B,227.21
293160.00,3,AR,B,227.21
117264.00,3,CO,B,227.21
1099350.00,3,AR,B,227.21
266775.60,1,NA,B,227.21
952770.00,2,CO,B,227.21
439740.00,3,AR,B,227.21
879480.00,1,TR,B,227.21
329805.00,1,TR,B,198.72
175896.00,2,CO,B,410.76
684040.00,1,NA,B,198.72
146580.00,1,TR,B,198.72
1099350.00,1,TR,B,198.72
137418.75,3,NA,B,410.76
1319220.00,3,NA,B,230.66
439740.00,3,NA,B,230.66
366450.00,3,AR,B,230.66
1099350.00,3,AR,B,230.66
879480.00,3,AR,B,230.66
1465800.00,2,CO,B,230.66
3664500.00,1,NA,B,230.66
1099350.00,3,CO,B,230.66
1172640.00,2,CO,B,371.72
1319220.00,1,TR,B,371.72
1319220.00,2,CO,B,320.71
2638440.00,1,TR,B,320.71
1099350.00,1,TR,B,320.71
219870.00,3,AR,B,320.71
879480.00,3,CO,B,320.71
3664500.00,3,AR,B,320.71
879480.00,3,AR,B,320.71
1758960.00,3,AR,B,320.71
1465800.00,3,AR,B,320.71
1832250.00,3,AR,B,320.71
1099350.00,3,AR,B,189.99
513030.00,3,AR,B,189.99
91612.50,3,NA,B,189.99
2198700.00,2,CO,B,189.99
641287.50,2,CO,B,189.99
824512.50,3,AR,B,189.99
46417.00,3,AR,B,189.99
952770.00,3,AR,B,189.99
586320.00,2,CO,B,189.99
4397400.00,2,CO,B,189.99
1319220.00,3,AR,B,189.99
879480.00,2,CO,B,564.99
2198700.00,2,CO,B,181.98
412256.25,2,CO,B,181.98
879480.00,2,CO,B,181.98
879480.00,3,AR,B,181.98
274837.50,3,AR,B,181.98
195440.00,3,AR,B,181.98
65961.00,3,AR,B,181.98
659610.00,2,CO,B,181.98
1099350.00,2,CO,B,181.98
879480.00,3,AR,B,181.98
1649025.00,3,AR,B,181.98
1392510.00,2,CO,B,181.98
806190.00,1,NA,B,181.98
1137216.50,2,CO,B,181.98
254072.00,3,AR,B,181.98
732900.00,1,AR,B,120.60
168567.00,3,AR,B,120.60
952770.00,1,TR,B,120.60
659610.00,2,CO,B,120.60
1685670.00,3,CO,B,120.60
366450.00,2,CO,B,120.60
879480.00,3,CO,B,120.60
1245930.00,3,CO,B,120.60
1465800.00,1,AR,B,120.60
2785020.00,3,CO,B,120.60
1758960.00,2,CO,B,120.60
732900.00,2,CO,B,120.60
7329000.00,2,CO,A,120.60
1539090.00,2,CO,B,120.60
2638440.00,3,AR,B,120.60
1099350.00,3,AR,B,120.60
1319220.00,1,NA,B,284.12
366450.00,2,CO,B,284.12
1392510.00,2,CO,B,284.12
1407168.00,1,NA,B,209.32
240024.75,3,AR,B,209.32
2198700.00,3,NA,B,438.77
513030.00,3,AR,B,209.32
3048864.00,2,CO,B,209.32
952770.00,2,CO,B,209.32
82451.25,3,NA,B,209.32
586320.00,3,AR,B,209.32
549675.00,3,AR,B,209.32
586320.00,3,AR,B,209.32
879480.00,3,NA,B,209.32
366450.00,3,AR,B,209.32
293160.00,2,CO,B,267.53
2638440.00,1,NA,B,267.53
578991.00,2,CO,B,267.53
4397400.00,1,NA,B,267.53
2931600.00,2,CO,B,267.53
2565150.00,1,NA,B,267.53
586320.00,3,AR,B,267.53
1685670.00,2,CO,B,267.53
4397400.00,1,NA,B,267.53
2931600.00,1,NA,B,267.53
3664500.00,1,NA,B,267.53
3224760.00,1,NA,B,267.53
1245930.00,2,CO,B,267.53
586320.00,3,AR,B,267.53
659610.00,1,TR,B,267.53
718242.00,3,NA,B,97.55
2198700.00,1,AR,B,97.55
879480.00,3,AR,B,97.55
703584.00,3,NA,B,97.55
366450.00,1,AR,B,97.55
578991.00,1,AR,B,97.55
329805.00,3,AR,B,168.96
18117288.00,3,AR,O,253.82
598535.00,2,CO,B,246.80
146580.00,3,CO,B,246.80
1026060.00,3,NA,B,246.80
940555.00,3,AR,B,132.20
366450.00,3,CO,B,132.20
146580.00,1,AR,B,132.20
586320.00,3,CO,B,132.20
127036.00,3,AR,B,132.20
146580.00,3,AR,B,132.20
1026060.00,3,CO,B,132.20
879480.00,3,CO,B,132.20
73290.00,3,AR,B,132.20
732900.00,2,CO,B,132.20
4910430.00,3,CO,B,132.20
244300.00,3,AR,B,132.20
2198700.00,3,CO,B,132.20
183225.00,3,CO,B,280.70
2052120.00,3,AR,B,280.70
879480.00,1,AR,B,280.70
513030.00,1,AR,B,223.11
1465800.00,2,CO,B,223.11
1465800.00,3,AR,B,223.11
1190962.50,3,CO,B,223.11
146580.00,3,AR,B,315.53
710913.00,2,CO,B,223.11
1465800.00,3,CO,B,223.11
513030.00,2,CO,B,223.11
109935.00,1,AR,B,315.53
412256.25,3,AR,B,198.54
249186.00,2,CO,B,198.54
366450.00,2,CO,B,198.54
366450.00,1,AR,B,198.54
102606.00,2,CO,B,198.54
18322.50,3,AR,B,198.54
1905540.00,1,NA,B,198.54
1758960.00,3,CO,B,198.54
2052120.00,3,AR,B,619.33
439740.00,3,AR,B,198.54
19544.00,3,CO,B,198.54
9161.25,3,AR,B,198.54
54967.50,3,CO,B,198.54
732900.00,3,NA,B,198.54
6178347.00,3,AR,A,198.54
1221500.00,3,AR,B,241.18
1539090.00,3,AR,B,241.18
1099350.00,3,AR,B,241.18
488600.00,1,TR,B,241.18
396987.50,3,CO,B,241.18
219870.00,3,NA,B,241.18
3664500.00,2,CO,B,241.18
2351387.50,1,NA,B,241.18
1348536.00,3,AR,B,241.18
879480.00,2,CO,B,241.18
5863200.00,3,AR,A,241.18
219870.00,1,NA,B,241.18
4397400.00,3,CO,B,241.18
2565150.00,3,NA,B,241.18
141694.00,2,CO,B,241.18
1905540.00,2,CO,B,137.21
175896.00,3,CO,B,137.21
2711730.00,3,NA,B,137.21
879480.00,3,AR,B,137.21
879480.00,2,CO,B,137.21
454398.00,2,CO,B,137.21
192386.25,3,AR,B,302.75
857493.00,1,TR,B,167.31
659610.00,2,CO,B,167.31
879480.00,3,CO,B,167.31
366450.00,3,AR,B,167.31
1099350.00,3,AR,B,167.31
1923862.50,3,CO,B,167.31
1099350.00,3,AR,B,167.31
3004890.00,1,AR,B,243.16
2931600.00,2,CO,B,243.16
2198700.00,2,CO,B,243.16
476385.00,3,AR,B,243.16
6596100.00,3,AR,A,157.50
879480.00,2,CO,B,157.50
7329000.00,2,CO,A,157.50
1703992.50,3,CO,B,157.50
24430.00,3,CO,B,192.90
1954400.00,3,AR,B,192.90
103827.50,3,AR,B,157.50
219870.00,2,CO,B,192.90
2506518.00,2,CO,B,192.90
119707.00,3,AR,B,192.90
483714.00,3,CO,B,157.50
366450.00,3,AR,B,157.50
1099350.00,2,CO,B,192.90
4397400.00,3,NA,B,192.90
131922.00,3,AR,B,192.90
241857.00,1,AR,B,192.90
3517920.00,2,CO,B,282.67
1319220.00,3,AR,B,125.72
806190.00,3,AR,B,125.72
1114008.00,1,TR,B,125.72
293160.00,1,NA,B,125.72
1026060.00,2,CO,B,125.72
1099350.00,3,CO,B,125.72
293160.00,3,AR,B,125.72
659610.00,2,CO,B,125.72
732900.00,3,AR,B,125.72
219870.00,3,AR,B,104.74
2565150.00,3,CO,B,104.74
117264.00,2,CO,B,104.74
6669390.00,2,CO,A,104.74
61838.44,2,CO,B,104.74
2931600.00,2,CO,B,104.74
5038687.50,2,CO,A,104.74
1758960.00,2,CO,B,212.15
114515.62,3,AR,B,179.37
3053750.00,3,CO,B,179.37
48371400.00,3,CO,Pl,179.37
1465800.00,2,CO,B,179.37
2198700.00,3,AR,B,179.37
329805.00,3,CO,B,179.37
329805.00,3,CO,B,179.37
3811080.00,1,NA,B,147.13
1758960.00,1,AR,B,147.13
1348536.00,1,NA,B,147.13
42752.50,2,CO,B,147.13
659610.00,2,CO,B,147.13
527688.00,3,AR,B,147.13
1319220.00,1,TR,B,147.13
1172640.00,3,AR,B,277.03
1319220.00,1,AR,B,277.03
439740.00,1,AR,B,193.99
2953587.00,2,CO,B,193.99
117264.00,2,CO,B,193.99
54967.50,3,NA,B,193.99
439740.00,3,AR,B,193.99
4236162.00,1,AR,B,193.99
388437.00,2,CO,B,193.99
1905540.00,3,AR,B,193.99
4886.00,3,AR,B,195.85
82451.25,3,AR,B,195.85
1172640.00,1,TR,B,195.85
494707.50,3,AR,B,195.85
354235.00,1,TR,B,195.85
2748375.00,3,CO,B,195.85
1923862.50,1,NA,B,195.85
571662.00,3,CO,B,195.85
2088765.00,2,CO,B,195.85
1465800.00,1,TR,B,346.45
3517920.00,2,CO,B,346.45
1319220.00,3,AR,B,346.45
2638440.00,1,TR,B,346.45
191775.50,3,CO,B,203.22
2351387.50,3,CO,B,203.22
191775.50,1,TR,B,203.22
2351387.50,3,AR,B,203.22
1172640.00,3,AR,B,203.22
29316.00,3,NA,B,203.22
256515.00,1,NA,B,203.22
256515.00,1,NA,B,203.22
1465800.00,1,AR,B,203.22
6156360.00,2,CO,A,87.78
2076550.00,2,CO,B,87.78
549675.00,1,TR,B,87.78
249186.00,2,CO,B,87.78
2601795.00,3,CO,B,87.78
908796.00,2,CO,B,141.66
3429972.00,2,CO,B,141.66
720685.00,3,AR,B,141.66
2931600.00,2,CO,B,201.84
1710100.00,1,AR,B,201.84
2198700.00,1,NA,B,201.84
40895820.00,2,CO,Pl,201.84
38110800.00,2,CO,Pl,201.84
13265490.00,3,AR,A,201.84
1165311.00,2,CO,B,162.92
5496750.00,1,TR,A,162.92
2206029.00,2,CO,B,162.92
2336118.75,3,AR,B,162.92
1641696.00,2,CO,B,162.92
659610.00,3,AR,B,162.92
879480.00,2,CO,B,162.92
3737790.00,1,NA,B,162.92
1561077.00,3,AR,B,337.53
513030.00,3,AR,B,158.53
25504920.00,2,CO,O,158.53
14071680.00,3,CO,A,158.53
30781800.00,2,CO,Pl,158.53
3517920.00,2,CO,B,158.53
197883.00,3,AR,B,158.53
732900.00,3,AR,B,158.53
732900.00,3,AR,B,158.53
952770.00,3,CO,B,158.53
88558.75,3,CO,B,158.53
329805.00,2,CO,B,163.14
1710100.00,3,CO,B,163.14
366450.00,1,AR,B,163.14
1465800.00,3,AR,B,163.14
29316.00,3,AR,B,163.14
73290.00,3,AR,B,163.14
2286648.00,1,AR,B,163.14
224756.00,3,AR,B,163.14
146580.00,3,CO,B,338.46
2565150.00,2,CO,B,338.46
1026060.00,3,AR,B,271.42
7255710.00,2,CO,A,271.42
8794800.00,1,TR,A,271.42
256515.00,1,TR,B,271.42
1465800.00,3,AR,B,271.42
23269575.00,2,CO,O,271.42
2638440.00,3,AR,B,271.42
9087960.00,2,CO,A,284.38
18029340.00,2,CO,O,284.38
3298050.00,1,TR,B,240.46
3664500.00,2,CO,B,240.46
879480.00,3,NA,B,240.46
5676921.25,2,CO,A,240.46
879480.00,2,CO,B,240.46
1667347.50,2,CO,B,240.46
3298050.00,1,TR,B,240.46
488600.00,3,AR,B,240.46
2345280.00,3,AR,B,240.46
1055376.00,3,NA,B,527.75
351792.00,2,CO,B,527.75
2198700.00,1,TR,B,279.05
2638440.00,3,AR,B,279.05
396987.50,2,CO,B,279.05
427525.00,3,AR,B,138.91
2462544.00,1,TR,B,138.91
2081436.00,3,CO,B,138.91
5130300.00,1,AR,A,138.91
8794800.00,1,TR,A,138.91
2931600.00,3,AR,B,138.91
1465800.00,1,NA,B,138.91
1145156.25,3,AR,B,138.91
2931600.00,1,TR,B,138.91
747558.00,3,AR,B,138.91
2540720.00,3,CO,B,138.91
2931600.00,3,CO,B,138.91
122150.00,3,CO,B,138.91
171010.00,1,AR,B,138.91
1231272.00,3,AR,B,138.91
879480.00,1,NA,B,138.91
9527700.00,2,CO,A,138.91
2565150.00,1,NA,B,101.30
559447.00,3,AR,B,101.30
1905540.00,2,CO,B,144.76
439740.00,3,CO,B,101.30
2198700.00,3,AR,B,101.30
230130.60,3,AR,B,101.30
6596100.00,3,CO,A,101.30
4004077.00,2,CO,B,144.76
824512.50,3,CO,B,646.34
219870.00,2,CO,B,646.34
469056.00,3,CO,B,646.34
2137625.00,2,CO,B,646.34
1539090.00,3,AR,B,646.34
1429155.00,2,CO,B,646.34
35179200.00,3,CO,Pl,742.51
2990232.00,3,AR,B,742.51
549675.00,3,CO,B,742.51
2198700.00,1,NA,B,742.51
2169384.00,3,NA,B,559.23
1319220.00,3,AR,B,559.23
65961.00,3,CO,B,559.23
1465800.00,1,TR,B,559.23
1758960.00,2,CO,B,559.23
337744.75,3,AR,B,559.23
233062.20,3,AR,B,559.23
144014.85,2,CO,B,559.23
4397400.00,3,CO,B,559.23
195440.00,1,TR,B,559.23
3371340.00,3,CO,B,630.79
2931600.00,3,CO,B,630.79
461727.00,3,AR,B,630.79
461727.00,1,TR,B,630.79
439740.00,3,NA,B,630.79
952770.00,3,NA,B,630.79
3298050.00,3,AR,B,630.79
439740.00,1,AR,B,630.79
1978830.00,3,NA,B,630.79
2198700.00,3,NA,B,630.79
51303.00,2,CO,B,630.79
80619.00,3,CO,B,121.99
586320.00,1,TR,B,121.99
513030.00,3,CO,B,121.99
1890882.00,3,NA,B,121.99
2375573.20,1,NA,B,121.99
278502.00,3,CO,B,121.99
879480.00,1,TR,B,121.99
2491860.00,3,CO,B,121.99
61075.00,3,AR,B,121.99
732900.00,3,CO,B,121.99
549675.00,2,CO,B,121.99
806190.00,2,CO,B,121.99
732900.00,3,CO,B,121.99
1260588.00,3,AR,B,121.99
2741046.00,3,CO,B,121.99
549675.00,3,CO,B,121.99
27483.75,1,NA,B,149.70
659610.00,2,CO,B,149.70
557004.00,2,CO,B,149.70
1319220.00,1,TR,B,149.70
1114008.00,3,CO,B,149.70
1128666.00,3,CO,B,149.70
1048047.00,2,CO,B,149.70
183225.00,2,CO,B,149.70
73290.00,3,AR,B,149.70
439740.00,3,CO,B,149.70
527688.00,3,AR,B,149.70
586320.00,3,AR,B,149.70
329805.00,3,CO,B,149.70
64128.75,2,CO,B,149.70
161238.00,1,AR,B,149.70
117264.00,1,AR,B,149.70
3078180.00,2,CO,B,149.70
300489.00,2,CO,B,149.70
2968245.00,1,AR,B,111.73
146580.00,3,CO,B,111.73
410424.00,3,AR,B,111.73
806190.00,1,NA,B,111.73
390880.00,3,CO,B,111.73
285831.00,3,CO,B,111.73
257980.80,2,CO,B,111.73
2462544.00,3,AR,B,111.73
3078180.00,3,NA,B,111.73
157573.50,3,AR,B,111.73
71457.75,3,CO,B,111.73
610750.00,1,AR,B,111.73
6596100.00,2,CO,A,111.73
513030.00,3,AR,B,356.02
1758960.00,1,TR,B,152.05
659610.00,3,AR,B,152.05
36645000.00,3,AR,Pl,152.05
1099350.00,3,AR,B,152.05
2198700.00,3,AR,B,152.05
1319220.00,3,AR,B,152.05
1832250.00,3,AR,B,152.05
2638440.00,1,TR,B,152.05
1539090.00,3,AR,B,152.05
2198700.00,1,TR,B,152.05
439740.00,3,CO,B,152.05
732900.00,2,CO,B,152.05
278502.00,3,CO,B,152.05
164902.50,3,AR,B,152.05
9161.25,1,NA,B,152.05
1978830.00,2,CO,B,152.05
146580.00,1,NA,B,138.42
2682414.00,3,CO,B,302.19
227199.00,3,CO,B,138.42
879480.00,3,AR,B,138.42
842835.00,3,AR,B,138.42
549675.00,3,AR,B,138.42
1978830.00,2,CO,B,138.42
3359125.00,3,AR,B,138.42
1465800.00,3,AR,B,138.42
685261.50,3,AR,B,138.42
4030950.00,3,AR,B,302.19
3591210.00,3,NA,B,163.82
469056.00,1,TR,B,163.82
2418570.00,3,AR,B,163.82
659610.00,3,CO,B,163.82
2565150.00,3,CO,B,163.82
2052120.00,2,CO,B,163.82
12312720.00,1,NA,A,163.82
879480.00,3,AR,B,163.82
472964.80,3,AR,B,163.82
623453.60,3,AR,B,163.82
1099350.00,2,CO,B,163.82
3664500.00,2,CO,B,163.82
3298050.00,2,CO,B,163.82
4030950.00,2,CO,B,163.82
3298050.00,2,CO,B,163.82
952770.00,2,CO,B,163.82
1832250.00,3,AR,B,163.82
127036.00,2,CO,B,163.82
108469.20,3,AR,B,163.82
39088.00,2,CO,B,163.82
3078180.00,1,TR,B,163.82
4397400.00,3,AR,B,260.00
200326.00,3,CO,B,260.00
61075.00,1,AR,B,260.00
952770.00,3,CO,B,120.53
1172640.00,3,AR,B,120.53
494707.50,3,AR,B,120.53
3811080.00,3,AR,B,120.53
439740.00,2,CO,B,120.53
2345280.00,2,CO,B,120.53
1758960.00,3,AR,B,120.53
732900.00,3,NA,B,120.53
3407985.00,3,CO,B,120.53
219870.00,1,AR,B,120.53
12605880.00,3,NA,A,120.53
439740.00,1,NA,B,120.53
2223130.00,2,CO,B,120.53
329805.00,3,AR,B,120.53
329805.00,3,CO,B,120.53
329805.00,3,CO,B,120.53
1011402.00,3,NA,B,120.53
1099350.00,1,NA,B,120.53
659610.00,3,AR,B,120.53
1319220.00,3,AR,B,120.53
970359.60,3,AR,B,120.53
39698.75,1,NA,B,120.53
513030.00,3,AR,B,120.53
586320.00,3,AR,B,120.53
146580.00,3,AR,B,120.53
61075.00,3,CO,B,120.53
214984.00,3,CO,B,260.00
2345280.00,3,CO,B,115.50
1832250.00,3,AR,B,115.50
234528.00,1,AR,B,115.50
3298050.00,2,CO,B,115.50
7329000.00,1,NA,A,115.50
1978830.00,3,CO,B,386.36
5130300.00,3,CO,A,115.50
1832250.00,3,CO,B,115.50
3298050.00,2,CO,B,115.50
3371340.00,3,CO,B,115.50
3048864.00,3,CO,B,115.50
2785020.00,2,CO,B,115.50
564333.00,3,AR,B,115.50
8061900.00,3,CO,A,115.50
11726400.00,3,CO,A,115.50
9527700.00,3,CO,A,115.50
1758960.00,3,CO,B,115.50
131922.00,3,AR,B,115.50
146580.00,1,NA,B,115.50
263844.00,3,CO,B,115.50
87948.00,3,AR,B,115.50
3298050.00,3,CO,B,210.29
606841.20,3,CO,B,210.29
219870.00,3,CO,B,119.37
268730.00,1,AR,B,119.37
2198700.00,1,TR,B,119.37
146580.00,1,AR,B,119.37
5716620.00,2,CO,A,119.37
4886000.00,3,AR,B,119.37
73290.00,3,AR,B,119.37
868486.50,2,CO,B,119.37
765880.50,2,CO,B,119.37
1026060.00,3,NA,B,119.37
1905540.00,1,NA,B,119.37
439740.00,2,CO,B,119.37
1905540.00,1,AR,B,119.37
732900.00,3,AR,B,119.37
1465800.00,1,AR,B,119.37
3933230.00,1,TR,B,119.37
139251.00,1,NA,B,119.37
131922.00,1,NA,B,119.37
139251.00,1,NA,B,119.37
274837.50,2,CO,B,119.37
1453585.00,2,CO,B,210.29
824512.50,2,CO,B,210.29
1758960.00,1,TR,B,166.48
2638440.00,3,CO,B,166.48
1465800.00,1,NA,B,166.48
1099350.00,2,CO,B,166.48
1172640.00,2,CO,B,166.48
1392510.00,3,AR,B,166.48
3023212.50,2,CO,B,166.48
1758960.00,1,AR,B,166.48
586320.00,1,AR,B,166.48
83062.00,3,CO,B,585.65
2301306.00,2,CO,B,166.48
1553748.00,2,CO,B,166.48
285831.00,2,CO,B,166.48
549675.00,3,AR,B,166.48
1099350.00,1,AR,B,166.48
1905540.00,2,CO,B,166.48
1612380.00,1,AR,B,130.97
273616.00,1,NA,B,130.97
1978830.00,3,CO,B,130.97
22866480.00,2,CO,O,130.97
769545.00,3,AR,B,130.97
723738.75,2,CO,B,130.97
1319220.00,2,CO,B,130.97
14658.00,1,AR,B,130.97
747558.00,1,AR,B,288.14
5130300.00,3,CO,A,108.83
10260600.00,2,CO,A,108.83
659610.00,3,AR,B,108.83
2931600.00,3,AR,B,108.83
2198700.00,3,AR,B,108.83
2638440.00,3,AR,B,108.83
5863200.00,3,CO,A,108.83
10260600.00,3,AR,A,108.83
1231272.00,3,AR,B,108.83
1040718.00,3,CO,B,108.83
2931600.00,3,CO,B,108.83
806190.00,3,AR,B,108.83
1832250.00,3,AR,B,108.83
1465800.00,1,AR,B,108.83
1245930.00,2,CO,B,252.75
1319220.00,2,CO,B,252.75
198493.75,3,NA,B,610.55
2931600.00,2,CO,B,610.55
626629.50,3,AR,B,610.55
659610.00,3,AR,B,610.55
2565150.00,3,NA,B,610.55
128257.50,3,NA,B,610.55
458062.50,3,NA,B,610.55
366450.00,2,CO,B,616.41
428746.50,3,AR,B,616.41
1093486.80,1,AR,B,616.41
53746.00,3,AR,B,616.41
42996.80,3,AR,B,616.41
25651.50,2,CO,B,616.41
25651.50,1,TR,B,616.41
19544.00,3,AR,B,616.41
1260588.00,2,CO,B,616.41
2198700.00,2,CO,B,616.41
3078180.00,2,CO,B,616.41
714577.50,1,TR,B,616.41
449512.00,1,NA,B,616.41
1099350.00,2,CO,B,616.41
879480.00,2,CO,B,616.41
952770.00,2,CO,B,616.41
2711730.00,1,TR,B,616.41
2992675.00,3,AR,B,754.80
1026060.00,3,AR,B,754.80
1465800.00,1,NA,B,754.80
1319220.00,1,TR,B,754.80
1465800.00,1,NA,B,754.80
5276880.00,2,CO,A,159.58
230863.50,1,NA,B,159.58
1758960.00,1,NA,B,159.58
615636.00,1,NA,B,159.58
13925100.00,1,AR,A,159.58
439740.00,2,CO,B,159.58
1758960.00,3,CO,B,159.58
1026060.00,3,CO,B,159.58
2198700.00,1,TR,B,272.54
2198700.00,1,NA,B,272.54
1346703.75,3,CO,B,159.58
1758960.00,1,NA,B,272.54
732900.00,3,AR,B,272.54
1011402.00,1,NA,B,243.05
1099350.00,3,AR,B,138.51
527688.00,3,AR,B,138.51
592183.20,3,AR,B,138.51
835506.00,2,CO,B,138.51
696255.00,2,CO,B,138.51
989415.00,3,AR,B,138.51
2271990.00,3,AR,B,243.05
1374187.50,3,AR,B,243.05
714577.50,3,AR,B,243.05
1758960.00,3,AR,B,138.51
30781800.00,3,CO,Pl,138.51
879480.00,3,AR,B,138.51
808388.70,2,CO,B,152.76
7329000.00,3,CO,A,152.76
13192200.00,2,CO,A,152.76
2076550.00,3,AR,B,152.76
21987.00,2,CO,B,152.76
1172640.00,1,NA,B,152.76
3298050.00,1,NA,B,152.76
18469080.00,2,CO,O,152.76
51303.00,2,CO,B,152.76
4030950.00,1,NA,B,152.76
123127.20,3,AR,B,152.76
2198700.00,2,CO,B,366.23
1172640.00,3,AR,B,152.76
2198700.00,2,CO,B,366.23
195440.00,3,CO,B,135.36
2198700.00,3,CO,B,135.36
732900.00,2,CO,B,135.36
1679562.50,2,CO,B,135.36
6156360.00,3,AR,A,191.43
732900.00,3,CO,B,191.43
1641696.00,3,AR,B,135.36
3114825.00,3,AR,B,135.36
2235345.00,2,CO,B,135.36
586320.00,2,CO,B,135.36
806190.00,2,CO,B,135.36
1099350.00,1,NA,B,135.36
1905540.00,1,NA,B,191.43
2198700.00,3,CO,B,309.94
3078180.00,3,AR,B,178.05
2931600.00,1,AR,B,178.05
5863200.00,2,CO,A,178.05
8061900.00,2,CO,A,178.05
329805.00,1,NA,B,178.05
4104240.00,2,CO,B,178.05
36645.00,2,CO,B,309.94
225733.20,2,CO,B,178.05
967428.00,2,CO,B,178.05
1758960.00,1,AR,B,178.05
2862707.40,3,CO,B,178.05
1465800.00,3,CO,B,178.05
635180.00,2,CO,B,178.05
439740.00,2,CO,B,178.05
117264.00,3,NA,B,178.05
491043.00,2,CO,B,309.94
43974000.00,3,AR,Pl,129.16
2137625.00,3,AR,B,129.16
2198700.00,3,AR,B,129.16
278502.00,3,AR,B,129.16
940555.00,3,CO,B,129.16
557004.00,2,CO,B,129.16
117264.00,3,CO,B,129.16
2137625.00,1,AR,B,129.16
3796422.00,2,CO,B,245.46
1231272.00,1,TR,B,245.46
3664500.00,1,NA,B,111.46
6156360.00,1,AR,A,111.46
1923862.50,3,NA,B,111.46
351792.00,2,CO,B,111.46
1524432.00,3,AR,B,111.46
2785020.00,2,CO,B,111.46
2198700.00,1,AR,B,111.46
21254.10,1,AR,B,111.46
820848.00,1,NA,B,111.46
2198700.00,1,NA,B,111.46
2653098.00,1,NA,B,111.46
5496750.00,3,AR,A,111.46
5863200.00,1,AR,A,111.46
1758960.00,3,CO,B,111.46
212541.00,1,NA,B,111.46
6596100.00,2,CO,A,111.46
732900.00,2,CO,B,111.46
1319220.00,3,AR,B,111.46
5863200.00,3,NA,A,245.46
1832250.00,3,AR,B,245.46
1099350.00,2,CO,B,245.46
2198700.00,3,NA,B,245.46
1689334.50,2,CO,B,115.23
9527700.00,2,CO,A,115.23
1245930.00,1,NA,B,115.23
2198700.00,1,TR,B,115.23
732900.00,3,CO,B,115.23
684040.00,3,AR,B,115.23
3517920.00,1,TR,B,115.23
5276880.00,1,NA,A,115.23
1685670.00,1,NA,B,115.23
659610.00,1,NA,B,115.23
1832250.00,2,CO,B,115.23
1612380.00,3,CO,B,115.23
1392510.00,3,AR,B,115.23
879480.00,1,NA,B,115.23
1180701.90,3,AR,B,115.23
989415.00,2,CO,B,812.45
2638440.00,3,CO,B,812.45
329805.00,3,AR,B,812.45
1026060.00,2,CO,B,812.45
952770.00,3,AR,B,812.45
5130300.00,3,CO,A,812.45
1172640.00,2,CO,B,812.45
879480.00,2,CO,B,812.45
381108.00,3,AR,B,812.45
21987.00,3,AR,B,812.45
549675.00,2,CO,B,812.45
403095.00,3,AR,B,812.45
1583064.00,3,CO,B,604.18
2638440.00,3,AR,B,604.18
1319220.00,1,TR,B,604.18
1374187.50,3,AR,B,604.18
732900.00,3,CO,B,604.18
1758960.00,3,AR,B,604.18
1026060.00,2,CO,B,604.18
2931600.00,2,CO,B,604.18
278502.00,1,NA,B,604.18
659610.00,3,AR,B,604.18
2748375.00,3,AR,B,1026.90
1026060.00,3,NA,B,604.18
1758960.00,3,CO,B,604.18
1758960.00,3,CO,B,604.18
916125.00,3,NA,B,604.18
4763850.00,3,CO,B,1026.90
879480.00,3,AR,B,1026.90
1026060.00,1,NA,B,1026.90
537460.00,3,AR,B,592.21
1099350.00,1,TR,B,592.21
3056193.00,3,AR,B,592.21
1612380.00,1,TR,B,592.21
1099350.00,1,TR,B,592.21
1758960.00,1,TR,B,592.21
469056.00,3,CO,B,592.21
535017.00,3,AR,B,1494.65
1905540.00,3,AR,B,1494.65
3908800.00,3,CO,B,1494.65
6351800.00,3,AR,A,592.21
241857.00,3,CO,B,592.21
312704.00,2,CO,B,592.21
329805.00,2,CO,B,592.21
